name,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021
Molly Taylor,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no
Joshua Wade,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no
Traci Morris,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes
Jennifer Harris,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,yes,no,no
David Fitzgerald,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no
Jason Hill,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no
Alex Jackson,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no
Linda Lee,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no
Yolanda Esparza,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Devin Miller,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
Jordan Lopez,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no
Ian Cox,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no
William Arnold,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
Daniel Landry,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no
Christine Howard,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
Steven Baker,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no
Kenneth Spencer,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
Gina Richardson,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Jennifer Mendez,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no
Danielle Sanchez,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no
Eric Caldwell,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no
Maureen Moore,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Dylan Diaz,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no
Amber Garcia,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes
Charles Peck,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no
Jeffrey Smith,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no
Ricardo Costa,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no
Patricia Peck,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Kimberly Lloyd,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no
Joseph Thompson,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Alexander Rasmussen,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no
Mindy Clark,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no
Kristin Moore,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
Lisa Thomas,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no
